"rteno","est_species_2013","Crop","Developed","Forest","Open","Water","Wetland"
2001,77,0.368239106281671,0.134554838282536,0.345829604419639,0.0460704713456777,0.0551403191716058,0.0501656604988703
2004,45,0.270780492926806,0.102829809367336,0.549176295479734,0.0351506986695413,0.0352435244338406,0.00681917912274257
2007,67,0.252314634174321,0.0526959771608073,0.643267455035269,0.0244762006392388,0.00325636782033312,0.0239893651700305
2008,64,0.269950505491609,0.0699247736609922,0.457971971478825,0.082590714125223,0.0955378116683075,0.0240242235750429
2010,71,0.100736323615989,0.0511743451402163,0.719297250147654,0.103206140948358,0.0159337661275717,0.00965217402021064
2014,73,0.101470670888506,0.192237411172813,0.548767210954938,0.100756618372245,0.0222523211883668,0.0345157674231322
2015,59,0.122335757145148,0.0986701445817767,0.668360686184129,0.0890197469894142,0.00915130234803694,0.0124623627514948
2016,67,0.0999122995306398,0.0693141311984032,0.632447345092329,0.124743511935442,0.00368870479905363,0.0698940074441324
2017,67,0.0253033801190491,0.10415248962938,0.722510467350336,0.108856710403809,0.0268237236152337,0.0123532288821915
2019,73,0.0765403739783981,0.0532038418643717,0.579619957224486,0.124292538557961,0.00338094990280093,0.162962338471983
2020,80,0.032690108030768,0.0318118853585046,0.636809558265826,0.154404868841789,0.002821766913052,0.14146181259006
2021,44,0.0548514232961292,0.0313346074429604,0.510507227085167,0.157145011936905,0.011262705493957,0.234899024744882
2022,59,0.23300532986822,0.0387840864185987,0.272463422314941,0.0779645614099198,0.0311686050448347,0.346613994943486
2023,71,0.0659595672030742,0.0386162350264982,0.664966425375565,0.101825494095321,0.00845719751282264,0.120175080786719
2024,70,0.212695466212723,0.0309769640417927,0.528981288941366,0.0788032694760149,0.0120481249170668,0.136494886411037
2025,105,0.187876041027736,0.0683983062965223,0.534506610239691,0.130073649263136,0.0177841817236892,0.061361211449225
2026,56,0.203409314025061,0.166432090864024,0.385156586620988,0.0707283734157875,0.0260015361426225,0.148272098931517
2029,82,0.0847855275210122,0.0335400303856597,0.63496365016846,0.120570816475151,0.00925604358963216,0.116883931860085
2032,90,0.195993314997756,0.0480778884559839,0.532566199203173,0.0993885852878762,0.00887155577746799,0.115102456277743
2033,53,0.183456422233175,0.0509970497528334,0.531066580442959,0.102266120915652,0.0078487033025136,0.124365123352868
2035,45,0.0564780829985581,0.0303232145845434,0.637573533787307,0.134028746752934,0.0063934274056123,0.135202994471045
2036,64,0.0576147098713507,0.032366002934899,0.606520246158008,0.115643764412937,0.0100584287821103,0.177796847840695
2038,56,0.159043929177905,0.040123049344155,0.456604776232661,0.171704668218009,0.00208103824530346,0.170442538781966
2043,66,0.0348151321184196,0.0754860968766545,0.692508859879692,0.154753487219255,0.00931322835212231,0.0331231955538563
2045,85,0.20101450291062,0.071751611967329,0.616691462122102,0.0906307328018836,0.00807740403859239,0.0118342861594727
2047,73,0.100578254725553,0.0875910666087533,0.511605008515788,0.101214120181229,0.0120747154915341,0.186936834477142
2050,81,0.259280743851715,0.0314055102476741,0.459817847835637,0.0754951111633123,0.0121824302905564,0.161818356611104
