"rteno","est_species_2013"
2001,77
2004,45
2007,67
2008,64
2010,71
2014,73
2015,59
2016,67
2017,67
2019,73
2020,80
2021,44
2022,59
2023,71
2024,70
2025,105
2026,56
2029,82
2032,90
2033,53
2035,45
2036,64
2038,56
2043,66
2045,85
2047,73
2050,81
2052,61
2053,57
2054,45
2057,71
2058,70
2059,64
2060,88
2061,76
2063,73
2065,72
2066,67
2068,87
2070,68
2071,73
2072,70
2073,73
2102,67
2105,61
2109,70
2111,104
2140,87
2141,60
2142,50
2156,74
2162,85
2164,80
2201,73
2204,71
2205,63
2207,102
2209,66
2210,50
2212,66
2214,60
2216,73
2218,70
6002,43
6009,51
6012,49
6018,24
6020,36
6024,42
6025,51
6028,76
6032,86
6051,40
6052,46
6053,40
6056,33
6057,40
6059,37
6063,43
6064,63
6065,56
6066,59
6068,33
6069,25
6070,50
6071,56
6073,77
6074,42
6077,63
6078,71
6081,55
6082,59
6101,25
6103,37
6107,50
6108,42
6115,59
6121,54
6126,51
6127,40
6133,105
7004,97
7005,70
7007,55
7008,60
7010,55
7013,64
7015,40
7019,71
7020,86
7022,77
7023,72
7024,61
7026,53
7027,74
7028,83
7033,57
7035,35
7037,90
7038,76
7039,84
7041,83
7042,56
7045,61
7046,81
7047,88
7049,117
7109,48
7111,73
7112,87
7117,63
14001,91
14003,111
14005,89
14006,86
14007,55
14009,87
14011,104
14013,44
14014,87
14016,25
14018,64
14021,59
14026,14
14032,45
14038,67
14047,64
14049,38
14050,65
14051,58
14053,47
14057,70
14059,26
14064,23
14069,15
14071,112
14078,58
14079,75
14080,53
14082,81
14083,103
14084,50
14089,47
14096,51
14098,83
14099,38
14103,85
14104,47
14106,81
14108,82
14111,53
14112,31
14114,90
14117,118
14122,47
14127,72
14128,80
14129,55
14132,61
14133,58
14136,72
14137,72
14138,71
14140,32
14142,59
14147,57
14151,102
14153,63
14154,90
14155,57
14156,77
14158,76
14159,87
14160,66
14161,56
14162,58
14165,69
14166,135
14168,111
14169,64
14173,90
14174,51
14175,65
14176,58
14177,86
14179,76
14180,68
14181,81
14182,81
14183,91
14184,95
14185,69
14186,100
14188,56
14189,102
14193,107
14194,60
14195,93
14198,113
14199,61
14201,33
14221,75
14226,67
14308,53
14319,80
14341,95
14352,65
14357,56
14366,53
14404,29
14406,79
14407,69
14408,88
14409,89
14415,73
14417,79
14418,68
14419,45
14420,70
14421,78
14422,76
14426,39
14429,35
14431,61
14434,66
14435,61
14436,66
14503,67
17001,79
17002,58
17003,111
17004,63
17005,17
17006,34
17007,20
17008,97
17009,71
17010,103
17011,56
17012,63
17013,22
17014,37
17015,83
17017,91
17018,55
17019,24
17021,26
17023,67
17031,59
17034,74
17035,49
17036,32
17037,35
17039,63
17040,44
17041,94
17042,26
17044,42
17045,63
17046,89
17049,25
17050,39
17051,28
17052,54
17055,69
17056,39
17057,61
17058,24
17126,35
17138,56
17154,93
17202,80
17203,108
17204,99
17205,38
17206,32
17207,28
17208,68
17209,65
17210,77
17211,36
17213,40
17214,26
17215,70
17216,70
17217,51
17221,44
17222,69
17223,118
17225,42
17227,41
17228,23
17301,66
17302,63
17303,48
17304,50
17305,57
17306,57
17307,58
17308,103
17309,73
17311,61
17312,37
17314,33
17315,64
17317,41
17318,83
17319,38
17321,28
17322,95
17326,41
17327,52
17352,95
17359,109
17362,57
17365,79
17366,67
17367,61
17368,68
17372,79
17375,68
17410,46
17412,31
17419,39
17422,111
17423,70
17453,67
18001,67
18003,81
18004,78
18007,70
18008,62
18009,81
18011,102
18014,80
18102,73
18116,74
21001,62
21002,64
21003,105
21004,67
21010,64
21105,77
21109,68
25005,82
25006,51
25009,60
25010,52
25011,53
25014,62
25015,73
25018,35
25019,79
25020,63
25021,51
25022,77
25024,39
25025,79
25027,56
25028,62
25030,54
25031,51
25037,49
25053,31
25054,57
25056,66
25057,37
25060,66
25061,69
25062,105
25063,79
25064,49
25066,56
25067,74
25068,52
25069,47
25073,60
25074,51
25081,47
25082,54
25084,99
25085,54
25086,43
25087,49
25113,76
25116,50
25129,74
25132,66
25135,55
25151,69
25165,48
25172,36
25175,70
25178,40
25180,33
25283,36
27001,44
27003,64
27004,89
27005,60
27006,65
27007,60
27009,67
27010,68
27013,71
27015,81
27016,62
27018,70
27019,61
27020,90
27021,65
27024,65
27025,51
27026,75
27027,94
27028,75
27029,66
27030,67
27031,74
27032,70
27033,58
27034,65
27035,60
27036,71
27037,67
27038,63
27039,58
27040,82
27041,78
27044,70
27046,62
27048,92
27049,82
27050,68
27051,68
27052,67
27053,77
27057,61
27111,73
27112,69
27117,77
27123,118
27155,60
27156,54
27158,68
27301,60
27302,53
27303,50
27304,37
27305,56
27306,60
27308,83
27309,104
27313,64
27314,67
27316,43
27317,78
27318,80
27319,64
27321,61
27322,80
27325,65
27326,64
27327,87
27331,69
27332,59
27333,82
27335,67
27336,60
33001,111
33002,66
33003,66
33006,58
33008,59
33010,80
33012,56
33014,102
33016,56
33017,35
33018,70
33020,33
33021,46
33022,49
33023,80
33025,109
33027,48
33029,102
33111,97
33119,73
33124,49
33128,64
33202,36
33204,60
33207,44
33208,47
33209,32
33211,65
33212,46
33213,40
33214,79
33217,59
33218,94
33219,67
33220,15
33222,82
33223,47
33225,66
33227,38
34001,62
34002,71
34003,52
34007,51
34008,55
34009,61
34010,69
34011,82
34012,61
34013,53
34014,66
34016,62
34017,100
34018,73
34019,95
34020,55
34021,61
34022,101
34023,69
34024,58
34025,55
34026,71
34027,64
34029,55
34030,54
34031,43
34032,53
34034,73
34036,64
34038,52
34040,58
34041,64
34042,59
34043,63
34044,57
34045,57
34046,95
34048,72
34049,88
34050,101
34051,67
34052,68
34053,79
34054,46
34055,61
34056,114
34057,65
34059,84
34060,73
34061,69
34062,80
34063,74
34065,53
34066,64
34067,71
34068,75
34069,70
34070,67
34071,54
34074,82
34075,65
34076,52
34078,75
34079,55
34080,88
34104,50
34135,63
34301,70
34302,83
34303,68
34304,60
34305,37
34306,38
34309,81
34310,81
34311,79
34312,55
34314,93
34315,73
34316,79
34317,64
34318,69
35002,62
35005,66
35006,51
35007,54
35009,63
35010,66
35011,47
35012,72
35013,78
35014,71
35016,57
35018,66
35020,51
35021,91
35022,65
35026,79
35027,74
35028,56
35029,45
35030,54
35031,79
35032,59
35035,84
35037,73
35038,97
35039,88
35041,84
35042,108
35108,116
35115,70
35117,58
35201,58
35301,67
