rteno,BCR,obs_species_2010,est_species_2010,obs_species_2011,est_species_2011,obs_species_2012,est_species_2012,obs_species_2013,est_species_2013,obs_species_2014,est_species_2014
2001,27,57,66,65,80,56,68,65,77,65,89
2004,28,53,70,60,70,47,51,42,45,58,80
2006,24,59,77,,,,,,,,
2007,28,58,68,65,83,,,58,67,64,77
2008,28,,,,,,,55,64,58,86
2010,29,63,81,62,72,64,72,59,71,,
2012,28,59,67,61,73,60,104,,,56,81
2013,28,,,45,75,43,59,,,,
2014,28,62,74,60,72,62,96,59,73,62,77
2015,28,,,,,54,59,55,59,59,82
2016,27,49,53,51,74,57,71,58,67,51,56
2017,28,51,73,,,55,69,52,67,,
2019,27,55,61,61,76,,,56,73,64,86
2020,27,40,74,38,65,51,64,45,80,35,63
2021,27,41,72,35,40,43,56,38,44,28,43
2022,27,,,45,59,47,60,47,59,35,48
2023,27,,,62,88,66,115,61,71,59,78
2024,27,57,76,56,66,57,67,60,70,63,76
2025,27,62,90,61,85,65,83,65,105,58,75
2026,27,49,63,43,48,44,53,48,56,50,79
2027,27,66,73,71,83,,,,,,
2028,29,62,84,59,65,,,,,,
2029,27,59,65,65,95,61,70,64,82,62,71
2031,27,42,48,,,,,,,,
2032,27,,,,,,,56,90,55,80
2033,27,45,53,39,50,46,59,44,53,35,68
2034,27,42,52,41,62,,,,,,
2035,27,38,51,47,64,,,37,45,47,58
2036,27,40,55,35,42,42,72,42,64,29,39
2038,27,,,55,79,54,97,50,56,52,66
2043,27,43,51,42,59,36,41,41,66,40,68
2045,27,62,73,60,77,58,65,59,85,58,67
2046,28,61,78,60,74,67,103,,,61,80
2047,27,54,66,59,85,58,89,55,73,53,61
2048,27,51,61,54,97,,,,,,
2049,27,57,77,,,,,,,,
2050,27,54,67,55,65,58,73,61,81,57,65
2051,28,54,73,58,84,,,,,,
2052,27,,,48,52,42,45,52,61,51,61
2053,27,,,52,59,48,59,51,57,52,78
2054,27,35,39,,,44,76,37,45,,
2055,27,63,71,64,71,,,,,,
2057,28,60,68,57,62,58,72,58,71,60,75
2058,28,,,49,57,44,58,48,70,50,55
2059,27,54,63,57,76,57,71,54,64,52,61
2060,27,57,92,52,87,53,85,50,88,45,70
2061,28,64,74,67,97,61,90,59,76,,
2063,27,50,66,44,51,49,59,53,73,47,57
2065,27,57,80,55,78,63,78,57,72,56,75
2066,27,,,47,52,53,71,47,67,42,46
2067,27,46,55,48,58,50,71,,,,
2068,27,,,49,58,,,53,87,55,77
2070,27,,,46,56,46,60,44,68,43,52
2071,24,53,63,,,54,64,55,73,52,66
2072,24,60,70,59,67,62,70,63,70,60,70
2073,28,47,50,56,67,58,72,63,73,57,86
2102,24,,,56,79,59,71,56,67,65,77
2105,28,61,71,63,95,63,78,55,61,60,73
2106,24,,,,,,,,,60,97
2109,28,57,67,56,64,62,75,60,70,,
2111,28,62,90,65,79,61,69,67,104,61,70
2137,27,50,75,49,66,48,74,,,,
2140,27,57,115,55,92,,,57,87,55,87
2141,27,50,60,47,58,51,61,46,60,46,53
2142,27,56,77,46,54,,,41,50,45,54
2156,28,53,63,51,82,54,60,61,74,51,56
2162,28,69,92,69,88,71,96,70,85,71,85
2164,28,57,93,55,87,56,74,55,80,52,65
2201,27,,,,,65,81,65,73,66,76
2203,24,,,49,54,51,74,,,,
2204,28,53,69,50,58,51,59,55,71,44,66
2205,27,52,59,57,70,53,64,54,63,53,84
2207,28,60,74,62,73,65,78,58,102,,
2208,28,52,64,44,57,,,,,,
2209,29,49,54,57,63,59,67,58,66,,
2210,27,46,71,46,64,47,56,42,50,43,52
2211,27,48,59,48,61,44,56,,,31,56
